Product: Custom Silver Necklace, Date: 2023-03-14, Sale Price: $71.22, Platform: Facebook, Likes: 85, Shares: 33, Comments: 28, Inquiries: 6,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-04-11, Sale Price: $41.35, Platform: Facebook, Likes: 467, Shares: 33, Comments: 44, Inquiries: 11,Sales: 5
Product: Vintage Style Linen Dress, Date: 2023-04-27, Sale Price: $53.05, Platform: Facebook, Likes: 148, Shares: 32, Comments: 42, Inquiries: 1,Sales: 0
Product: Natural Stone Coaster Set, Date: 2023-05-01, Sale Price: $62.72, Platform: Instagram, Likes: 349, Shares: 30, Comments: 14, Inquiries: 3,Sales: 1
Product: Decorative Beaded Bracelet, Date: 2023-03-21, Sale Price: $56.97, Platform: Facebook, Likes: 438, Shares: 44, Comments: 17, Inquiries: 6,Sales: 3
Product: Vintage Style Linen Dress, Date: 2023-04-26, Sale Price: $98.12, Platform: Instagram, Likes: 154, Shares: 43, Comments: 26, Inquiries: 16,Sales: 6
Product: Handmade Ceramic Vase, Date: 2023-03-13, Sale Price: $63.36, Platform: Instagram, Likes: 279, Shares: 14, Comments: 32, Inquiries: 9,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-05-17, Sale Price: $51.92, Platform: Twitter, Likes: 260, Shares: 53, Comments: 23, Inquiries: 4,Sales: 0
Product: Artisan Glass Earrings, Date: 2023-05-26, Sale Price: $82.81, Platform: Facebook, Likes: 414, Shares: 97, Comments: 33, Inquiries: 11,Sales: 5
Product: Handmade Ceramic Vase, Date: 2023-05-10, Sale Price: $22.88, Platform: Twitter, Likes: 346, Shares: 12, Comments: 10, Inquiries: 5,Sales: 1
Product: Organic Cotton Scarf, Date: 2023-03-12, Sale Price: $63.62, Platform: Instagram, Likes: 362, Shares: 73, Comments: 25, Inquiries: 6,Sales: 2
Product: Vintage Style Linen Dress, Date: 2023-05-17, Sale Price: $22.82, Platform: Instagram, Likes: 53, Shares: 88, Comments: 20, Inquiries: 20,Sales: 8
Product: Organic Cotton Scarf, Date: 2023-04-30, Sale Price: $91.56, Platform: Twitter, Likes: 84, Shares: 65, Comments: 12, Inquiries: 1,Sales: 0
Product: Handmade Ceramic Vase, Date: 2023-04-14, Sale Price: $77.36, Platform: Instagram, Likes: 108, Shares: 29, Comments: 14, Inquiries: 4,Sales: 1
Product: Personalized Leather Wallet, Date: 2023-05-12, Sale Price: $63.89, Platform: Instagram, Likes: 442, Shares: 12, Comments: 16, Inquiries: 17,Sales: 6
Product: Decorative Beaded Bracelet, Date: 2023-05-25, Sale Price: $35.24, Platform: Facebook, Likes: 169, Shares: 12, Comments: 47, Inquiries: 2,Sales: 1
Product: Natural Stone Coaster Set, Date: 2023-05-23, Sale Price: $82.46, Platform: Facebook, Likes: 96, Shares: 42, Comments: 46, Inquiries: 0,Sales: 0
Product: Vintage Style Linen Dress, Date: 2023-05-09, Sale Price: $36.7, Platform: Instagram, Likes: 197, Shares: 28, Comments: 34, Inquiries: 20,Sales: 8
Product: Handmade Ceramic Vase, Date: 2023-05-16, Sale Price: $24.7, Platform: Twitter, Likes: 245, Shares: 21, Comments: 7, Inquiries: 13,Sales: 2
Product: Custom Silver Necklace, Date: 2023-03-22, Sale Price: $43.54, Platform: Twitter, Likes: 199, Shares: 64, Comments: 35, Inquiries: 9,Sales: 1
Product: Personalized Leather Wallet, Date: 2023-04-07, Sale Price: $47.67, Platform: Instagram, Likes: 144, Shares: 16, Comments: 29, Inquiries: 20,Sales: 8
Product: Custom Silver Necklace, Date: 2023-04-04, Sale Price: $36.13, Platform: Facebook, Likes: 361, Shares: 99, Comments: 14, Inquiries: 8,Sales: 4
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-20, Sale Price: $72.92, Platform: Instagram, Likes: 370, Shares: 76, Comments: 45, Inquiries: 1,Sales: 0
Product: Handmade Ceramic Vase, Date: 2023-04-17, Sale Price: $94.57, Platform: Facebook, Likes: 195, Shares: 65, Comments: 36, Inquiries: 12,Sales: 6
Product: Organic Cotton Scarf, Date: 2023-04-05, Sale Price: $50.07, Platform: Facebook, Likes: 360, Shares: 42, Comments: 40, Inquiries: 7,Sales: 3
Product: Custom Silver Necklace, Date: 2023-04-12, Sale Price: $62.16, Platform: Twitter, Likes: 477, Shares: 63, Comments: 44, Inquiries: 6,Sales: 1
Product: Organic Cotton Scarf, Date: 2023-03-28, Sale Price: $95.56, Platform: Twitter, Likes: 384, Shares: 68, Comments: 46, Inquiries: 16,Sales: 3
Product: Vintage Style Linen Dress, Date: 2023-04-25, Sale Price: $99.46, Platform: Facebook, Likes: 149, Shares: 57, Comments: 42, Inquiries: 16,Sales: 8
Product: Vintage Style Linen Dress, Date: 2023-03-26, Sale Price: $91.99, Platform: Facebook, Likes: 58, Shares: 43, Comments: 35, Inquiries: 7,Sales: 3
Product: Natural Stone Coaster Set, Date: 2023-03-09, Sale Price: $37.68, Platform: Facebook, Likes: 491, Shares: 92, Comments: 40, Inquiries: 4,Sales: 2
Product: Handcrafted Wooden Bowl, Date: 2023-04-06, Sale Price: $95.94, Platform: Instagram, Likes: 274, Shares: 100, Comments: 38, Inquiries: 1,Sales: 0
Product: Custom Silver Necklace, Date: 2023-03-01, Sale Price: $59.02, Platform: Twitter, Likes: 84, Shares: 37, Comments: 20, Inquiries: 12,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-03-13, Sale Price: $34.72, Platform: Twitter, Likes: 322, Shares: 24, Comments: 24, Inquiries: 11,Sales: 2
Product: Organic Cotton Scarf, Date: 2023-03-23, Sale Price: $74.78, Platform: Twitter, Likes: 232, Shares: 89, Comments: 33, Inquiries: 8,Sales: 1
Product: Vintage Style Linen Dress, Date: 2023-04-16, Sale Price: $97.04, Platform: Twitter, Likes: 169, Shares: 24, Comments: 14, Inquiries: 2,Sales: 0
Product: Decorative Beaded Bracelet, Date: 2023-04-29, Sale Price: $80.31, Platform: Instagram, Likes: 118, Shares: 22, Comments: 36, Inquiries: 20,Sales: 8
Product: Natural Stone Coaster Set, Date: 2023-05-12, Sale Price: $26.85, Platform: Instagram, Likes: 160, Shares: 56, Comments: 39, Inquiries: 20,Sales: 8
Product: Organic Cotton Scarf, Date: 2023-04-15, Sale Price: $45.24, Platform: Instagram, Likes: 259, Shares: 94, Comments: 15, Inquiries: 12,Sales: 4
Product: Organic Cotton Scarf, Date: 2023-03-08, Sale Price: $34.44, Platform: Twitter, Likes: 158, Shares: 77, Comments: 42, Inquiries: 7,Sales: 1
Product: Decorative Beaded Bracelet, Date: 2023-04-09, Sale Price: $49.8, Platform: Instagram, Likes: 205, Shares: 32, Comments: 44, Inquiries: 10,Sales: 4
Product: Decorative Beaded Bracelet, Date: 2023-04-13, Sale Price: $45.54, Platform: Facebook, Likes: 395, Shares: 47, Comments: 10, Inquiries: 0,Sales: 0
Product: Organic Cotton Scarf, Date: 2023-04-25, Sale Price: $52.39, Platform: Instagram, Likes: 189, Shares: 31, Comments: 19, Inquiries: 16,Sales: 6
Product: Vintage Style Linen Dress, Date: 2023-04-28, Sale Price: $66.67, Platform: Facebook, Likes: 143, Shares: 70, Comments: 43, Inquiries: 19,Sales: 9
Product: Natural Stone Coaster Set, Date: 2023-04-12, Sale Price: $42.51, Platform: Twitter, Likes: 184, Shares: 96, Comments: 28, Inquiries: 16,Sales: 3
Product: Vintage Style Linen Dress, Date: 2023-04-23, Sale Price: $92.68, Platform: Facebook, Likes: 198, Shares: 77, Comments: 23, Inquiries: 6,Sales: 3
Product: Handmade Ceramic Vase, Date: 2023-03-03, Sale Price: $65.95, Platform: Instagram, Likes: 90, Shares: 52, Comments: 9, Inquiries: 5,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-04-28, Sale Price: $83.26, Platform: Instagram, Likes: 225, Shares: 70, Comments: 29, Inquiries: 2,Sales: 0
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-05, Sale Price: $61.5, Platform: Twitter, Likes: 349, Shares: 67, Comments: 5, Inquiries: 13,Sales: 2
Product: Handmade Ceramic Vase, Date: 2023-04-06, Sale Price: $82.41, Platform: Facebook, Likes: 364, Shares: 30, Comments: 18, Inquiries: 13,Sales: 6
Product: Artisan Glass Earrings, Date: 2023-04-12, Sale Price: $89.53, Platform: Twitter, Likes: 97, Shares: 14, Comments: 34, Inquiries: 11,Sales: 2
Product: Personalized Leather Wallet, Date: 2023-04-06, Sale Price: $34.11, Platform: Facebook, Likes: 249, Shares: 62, Comments: 5, Inquiries: 2,Sales: 1
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-11, Sale Price: $38.11, Platform: Facebook, Likes: 205, Shares: 18, Comments: 27, Inquiries: 12,Sales: 6
Product: Natural Stone Coaster Set, Date: 2023-05-13, Sale Price: $76.62, Platform: Instagram, Likes: 343, Shares: 20, Comments: 10, Inquiries: 15,Sales: 6
Product: Vintage Style Linen Dress, Date: 2023-05-24, Sale Price: $29.97, Platform: Twitter, Likes: 54, Shares: 93, Comments: 18, Inquiries: 8,Sales: 1
Product: Handmade Ceramic Vase, Date: 2023-05-09, Sale Price: $83.91, Platform: Twitter, Likes: 131, Shares: 99, Comments: 5, Inquiries: 1,Sales: 0
Product: Organic Cotton Scarf, Date: 2023-03-27, Sale Price: $68.29, Platform: Facebook, Likes: 398, Shares: 10, Comments: 6, Inquiries: 0,Sales: 0
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-29, Sale Price: $81.97, Platform: Facebook, Likes: 64, Shares: 70, Comments: 36, Inquiries: 11,Sales: 5
Product: Handmade Ceramic Vase, Date: 2023-03-01, Sale Price: $76.67, Platform: Facebook, Likes: 113, Shares: 74, Comments: 47, Inquiries: 5,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-05-27, Sale Price: $87.6, Platform: Instagram, Likes: 344, Shares: 25, Comments: 19, Inquiries: 5,Sales: 2
Product: Custom Silver Necklace, Date: 2023-05-11, Sale Price: $97.19, Platform: Instagram, Likes: 256, Shares: 95, Comments: 43, Inquiries: 17,Sales: 6
Product: Artisan Glass Earrings, Date: 2023-04-17, Sale Price: $84.06, Platform: Facebook, Likes: 57, Shares: 26, Comments: 9, Inquiries: 19,Sales: 9
Product: Organic Cotton Scarf, Date: 2023-03-31, Sale Price: $36.74, Platform: Twitter, Likes: 267, Shares: 88, Comments: 47, Inquiries: 19,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-04-05, Sale Price: $71.58, Platform: Twitter, Likes: 373, Shares: 66, Comments: 48, Inquiries: 11,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-04-25, Sale Price: $61.63, Platform: Facebook, Likes: 315, Shares: 55, Comments: 16, Inquiries: 18,Sales: 9
Product: Decorative Beaded Bracelet, Date: 2023-05-14, Sale Price: $47.1, Platform: Facebook, Likes: 338, Shares: 39, Comments: 18, Inquiries: 18,Sales: 9
Product: Artisan Glass Earrings, Date: 2023-05-05, Sale Price: $39.76, Platform: Twitter, Likes: 429, Shares: 76, Comments: 47, Inquiries: 1,Sales: 0
Product: Handmade Ceramic Vase, Date: 2023-04-28, Sale Price: $21.24, Platform: Facebook, Likes: 55, Shares: 71, Comments: 45, Inquiries: 3,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-04-19, Sale Price: $87.18, Platform: Twitter, Likes: 103, Shares: 80, Comments: 48, Inquiries: 14,Sales: 2
Product: Handcrafted Wooden Bowl, Date: 2023-05-24, Sale Price: $68.58, Platform: Twitter, Likes: 474, Shares: 50, Comments: 26, Inquiries: 19,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-04-26, Sale Price: $90.06, Platform: Instagram, Likes: 491, Shares: 85, Comments: 24, Inquiries: 17,Sales: 6
Product: Handmade Ceramic Vase, Date: 2023-05-17, Sale Price: $41.57, Platform: Instagram, Likes: 58, Shares: 16, Comments: 31, Inquiries: 13,Sales: 5
Product: Organic Cotton Scarf, Date: 2023-05-05, Sale Price: $52.3, Platform: Twitter, Likes: 70, Shares: 93, Comments: 34, Inquiries: 20,Sales: 4
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-10, Sale Price: $25.53, Platform: Facebook, Likes: 383, Shares: 75, Comments: 49, Inquiries: 3,Sales: 1
Product: Personalized Leather Wallet, Date: 2023-03-08, Sale Price: $21.04, Platform: Facebook, Likes: 280, Shares: 22, Comments: 12, Inquiries: 20,Sales: 10
Product: Organic Cotton Scarf, Date: 2023-04-12, Sale Price: $74.32, Platform: Twitter, Likes: 381, Shares: 53, Comments: 8, Inquiries: 0,Sales: 0
Product: Handcrafted Wooden Bowl, Date: 2023-03-06, Sale Price: $73.9, Platform: Facebook, Likes: 387, Shares: 80, Comments: 45, Inquiries: 19,Sales: 9
Product: Personalized Leather Wallet, Date: 2023-03-29, Sale Price: $55.48, Platform: Twitter, Likes: 271, Shares: 92, Comments: 8, Inquiries: 10,Sales: 2
Product: Handcrafted Wooden Bowl, Date: 2023-03-09, Sale Price: $23.45, Platform: Twitter, Likes: 169, Shares: 75, Comments: 34, Inquiries: 15,Sales: 3
Product: Custom Silver Necklace, Date: 2023-03-07, Sale Price: $22.23, Platform: Facebook, Likes: 415, Shares: 67, Comments: 36, Inquiries: 1,Sales: 0
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-09, Sale Price: $33.41, Platform: Twitter, Likes: 309, Shares: 47, Comments: 14, Inquiries: 19,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-03-05, Sale Price: $36.05, Platform: Facebook, Likes: 396, Shares: 40, Comments: 36, Inquiries: 11,Sales: 5
Product: Artisan Glass Earrings, Date: 2023-04-29, Sale Price: $86.06, Platform: Facebook, Likes: 237, Shares: 51, Comments: 36, Inquiries: 8,Sales: 4
Product: Natural Stone Coaster Set, Date: 2023-04-29, Sale Price: $48.6, Platform: Instagram, Likes: 426, Shares: 74, Comments: 41, Inquiries: 5,Sales: 2
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-06, Sale Price: $97.66, Platform: Facebook, Likes: 159, Shares: 73, Comments: 32, Inquiries: 7,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-03-08, Sale Price: $84.95, Platform: Instagram, Likes: 384, Shares: 96, Comments: 31, Inquiries: 7,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-03-04, Sale Price: $22.84, Platform: Twitter, Likes: 436, Shares: 92, Comments: 5, Inquiries: 4,Sales: 0
Product: Vintage Style Linen Dress, Date: 2023-04-10, Sale Price: $75.52, Platform: Twitter, Likes: 491, Shares: 19, Comments: 46, Inquiries: 19,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-04-06, Sale Price: $36.3, Platform: Facebook, Likes: 197, Shares: 87, Comments: 15, Inquiries: 2,Sales: 1
Product: Natural Stone Coaster Set, Date: 2023-03-24, Sale Price: $51.75, Platform: Facebook, Likes: 432, Shares: 10, Comments: 45, Inquiries: 0,Sales: 0
Product: Handcrafted Wooden Bowl, Date: 2023-03-07, Sale Price: $71.52, Platform: Facebook, Likes: 226, Shares: 36, Comments: 20, Inquiries: 17,Sales: 8
Product: Organic Cotton Scarf, Date: 2023-04-03, Sale Price: $77.06, Platform: Twitter, Likes: 242, Shares: 72, Comments: 38, Inquiries: 16,Sales: 3
Product: Handcrafted Wooden Bowl, Date: 2023-04-23, Sale Price: $35.9, Platform: Instagram, Likes: 337, Shares: 75, Comments: 6, Inquiries: 5,Sales: 2
Product: Handmade Ceramic Vase, Date: 2023-04-26, Sale Price: $57.91, Platform: Twitter, Likes: 386, Shares: 72, Comments: 49, Inquiries: 14,Sales: 2
Product: Personalized Leather Wallet, Date: 2023-03-09, Sale Price: $70.73, Platform: Twitter, Likes: 96, Shares: 43, Comments: 49, Inquiries: 3,Sales: 0
Product: Handcrafted Wooden Bowl, Date: 2023-04-18, Sale Price: $62.31, Platform: Facebook, Likes: 338, Shares: 59, Comments: 26, Inquiries: 8,Sales: 4
Product: Organic Cotton Scarf, Date: 2023-03-22, Sale Price: $90.84, Platform: Facebook, Likes: 247, Shares: 70, Comments: 45, Inquiries: 1,Sales: 0
Product: Vintage Style Linen Dress, Date: 2023-05-20, Sale Price: $94.0, Platform: Facebook, Likes: 98, Shares: 82, Comments: 28, Inquiries: 2,Sales: 1
Product: Vintage Style Linen Dress, Date: 2023-04-15, Sale Price: $56.26, Platform: Instagram, Likes: 412, Shares: 83, Comments: 6, Inquiries: 20,Sales: 8
Product: Organic Cotton Scarf, Date: 2023-04-04, Sale Price: $55.09, Platform: Facebook, Likes: 302, Shares: 82, Comments: 16, Inquiries: 10,Sales: 5
Product: Personalized Leather Wallet, Date: 2023-03-22, Sale Price: $70.34, Platform: Instagram, Likes: 279, Shares: 20, Comments: 44, Inquiries: 8,Sales: 3
Product: Natural Stone Coaster Set, Date: 2023-04-08, Sale Price: $47.74, Platform: Instagram, Likes: 203, Shares: 29, Comments: 21, Inquiries: 7,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-05-19, Sale Price: $55.99, Platform: Instagram, Likes: 346, Shares: 73, Comments: 33, Inquiries: 19,Sales: 7
Product: Personalized Leather Wallet, Date: 2023-04-30, Sale Price: $49.85, Platform: Facebook, Likes: 220, Shares: 73, Comments: 25, Inquiries: 6,Sales: 3
Product: Personalized Leather Wallet, Date: 2023-04-03, Sale Price: $73.54, Platform: Twitter, Likes: 444, Shares: 74, Comments: 41, Inquiries: 1,Sales: 0
Product: Personalized Leather Wallet, Date: 2023-03-11, Sale Price: $47.05, Platform: Instagram, Likes: 160, Shares: 63, Comments: 33, Inquiries: 20,Sales: 8
Product: Organic Cotton Scarf, Date: 2023-03-10, Sale Price: $83.17, Platform: Twitter, Likes: 414, Shares: 77, Comments: 37, Inquiries: 18,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-05-06, Sale Price: $99.25, Platform: Facebook, Likes: 159, Shares: 48, Comments: 50, Inquiries: 9,Sales: 4
Product: Handmade Ceramic Vase, Date: 2023-04-14, Sale Price: $98.39, Platform: Instagram, Likes: 295, Shares: 53, Comments: 26, Inquiries: 11,Sales: 4
Product: Personalized Leather Wallet, Date: 2023-05-24, Sale Price: $84.28, Platform: Twitter, Likes: 488, Shares: 52, Comments: 11, Inquiries: 19,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-03-17, Sale Price: $70.94, Platform: Twitter, Likes: 415, Shares: 25, Comments: 18, Inquiries: 15,Sales: 3
Product: Handmade Ceramic Vase, Date: 2023-04-22, Sale Price: $56.16, Platform: Twitter, Likes: 77, Shares: 27, Comments: 42, Inquiries: 20,Sales: 4
Product: Handcrafted Wooden Bowl, Date: 2023-04-10, Sale Price: $44.16, Platform: Instagram, Likes: 294, Shares: 64, Comments: 16, Inquiries: 2,Sales: 0
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-01, Sale Price: $71.24, Platform: Facebook, Likes: 329, Shares: 20, Comments: 23, Inquiries: 0,Sales: 0
Product: Vintage Style Linen Dress, Date: 2023-04-28, Sale Price: $85.72, Platform: Facebook, Likes: 274, Shares: 41, Comments: 15, Inquiries: 10,Sales: 5
Product: Handmade Ceramic Vase, Date: 2023-03-31, Sale Price: $94.84, Platform: Instagram, Likes: 295, Shares: 80, Comments: 40, Inquiries: 4,Sales: 1
Product: Organic Cotton Scarf, Date: 2023-05-27, Sale Price: $62.56, Platform: Facebook, Likes: 485, Shares: 27, Comments: 17, Inquiries: 11,Sales: 5
Product: Handmade Ceramic Vase, Date: 2023-05-07, Sale Price: $37.72, Platform: Facebook, Likes: 159, Shares: 26, Comments: 28, Inquiries: 2,Sales: 1
Product: Natural Stone Coaster Set, Date: 2023-03-30, Sale Price: $24.75, Platform: Twitter, Likes: 193, Shares: 40, Comments: 14, Inquiries: 4,Sales: 0
Product: Vintage Style Linen Dress, Date: 2023-03-02, Sale Price: $56.61, Platform: Facebook, Likes: 309, Shares: 93, Comments: 49, Inquiries: 16,Sales: 8
Product: Handcrafted Wooden Bowl, Date: 2023-03-26, Sale Price: $52.55, Platform: Twitter, Likes: 328, Shares: 87, Comments: 17, Inquiries: 6,Sales: 1
Product: Handmade Ceramic Vase, Date: 2023-04-09, Sale Price: $95.98, Platform: Facebook, Likes: 237, Shares: 45, Comments: 14, Inquiries: 16,Sales: 8
Product: Custom Silver Necklace, Date: 2023-04-14, Sale Price: $35.98, Platform: Facebook, Likes: 155, Shares: 98, Comments: 17, Inquiries: 7,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-05-04, Sale Price: $53.87, Platform: Twitter, Likes: 419, Shares: 79, Comments: 32, Inquiries: 19,Sales: 3
Product: Personalized Leather Wallet, Date: 2023-04-22, Sale Price: $81.55, Platform: Twitter, Likes: 421, Shares: 95, Comments: 7, Inquiries: 19,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-03-03, Sale Price: $78.66, Platform: Twitter, Likes: 387, Shares: 76, Comments: 18, Inquiries: 4,Sales: 0
Product: Decorative Beaded Bracelet, Date: 2023-03-21, Sale Price: $55.07, Platform: Instagram, Likes: 249, Shares: 81, Comments: 29, Inquiries: 4,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-03-02, Sale Price: $73.01, Platform: Facebook, Likes: 349, Shares: 93, Comments: 16, Inquiries: 5,Sales: 2
Product: Custom Silver Necklace, Date: 2023-05-30, Sale Price: $42.29, Platform: Facebook, Likes: 354, Shares: 29, Comments: 49, Inquiries: 1,Sales: 0
Product: Artisan Glass Earrings, Date: 2023-04-22, Sale Price: $97.61, Platform: Instagram, Likes: 200, Shares: 49, Comments: 47, Inquiries: 10,Sales: 4
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-27, Sale Price: $41.56, Platform: Instagram, Likes: 108, Shares: 58, Comments: 22, Inquiries: 6,Sales: 2
Product: Organic Cotton Scarf, Date: 2023-03-16, Sale Price: $83.9, Platform: Twitter, Likes: 73, Shares: 66, Comments: 12, Inquiries: 16,Sales: 3
Product: Handcrafted Wooden Bowl, Date: 2023-05-03, Sale Price: $59.55, Platform: Twitter, Likes: 345, Shares: 41, Comments: 10, Inquiries: 7,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-04-16, Sale Price: $67.95, Platform: Instagram, Likes: 175, Shares: 68, Comments: 21, Inquiries: 12,Sales: 4
Product: Personalized Leather Wallet, Date: 2023-05-08, Sale Price: $95.5, Platform: Twitter, Likes: 417, Shares: 53, Comments: 31, Inquiries: 4,Sales: 0
Product: Custom Silver Necklace, Date: 2023-03-05, Sale Price: $53.78, Platform: Instagram, Likes: 67, Shares: 37, Comments: 38, Inquiries: 13,Sales: 5
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-05, Sale Price: $59.29, Platform: Facebook, Likes: 466, Shares: 53, Comments: 24, Inquiries: 18,Sales: 9
Product: Handmade Ceramic Vase, Date: 2023-03-23, Sale Price: $54.12, Platform: Instagram, Likes: 160, Shares: 74, Comments: 10, Inquiries: 16,Sales: 6
Product: Handmade Ceramic Vase, Date: 2023-04-01, Sale Price: $76.27, Platform: Facebook, Likes: 116, Shares: 28, Comments: 50, Inquiries: 8,Sales: 4
Product: Natural Stone Coaster Set, Date: 2023-04-23, Sale Price: $64.15, Platform: Twitter, Likes: 288, Shares: 82, Comments: 8, Inquiries: 14,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-04-20, Sale Price: $39.54, Platform: Instagram, Likes: 59, Shares: 33, Comments: 39, Inquiries: 10,Sales: 4
Product: Handcrafted Wooden Bowl, Date: 2023-03-02, Sale Price: $78.97, Platform: Twitter, Likes: 315, Shares: 80, Comments: 8, Inquiries: 13,Sales: 2
Product: Custom Silver Necklace, Date: 2023-03-23, Sale Price: $77.64, Platform: Facebook, Likes: 484, Shares: 19, Comments: 6, Inquiries: 11,Sales: 5
Product: Handmade Ceramic Vase, Date: 2023-05-15, Sale Price: $93.32, Platform: Twitter, Likes: 442, Shares: 36, Comments: 31, Inquiries: 14,Sales: 2
Product: Personalized Leather Wallet, Date: 2023-05-06, Sale Price: $95.24, Platform: Facebook, Likes: 498, Shares: 73, Comments: 28, Inquiries: 6,Sales: 3
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-04, Sale Price: $91.54, Platform: Instagram, Likes: 278, Shares: 10, Comments: 24, Inquiries: 7,Sales: 2
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-08, Sale Price: $30.98, Platform: Facebook, Likes: 245, Shares: 17, Comments: 18, Inquiries: 15,Sales: 7
Product: Handmade Ceramic Vase, Date: 2023-03-11, Sale Price: $48.52, Platform: Instagram, Likes: 420, Shares: 44, Comments: 46, Inquiries: 5,Sales: 2
Product: Personalized Leather Wallet, Date: 2023-03-29, Sale Price: $57.35, Platform: Instagram, Likes: 91, Shares: 10, Comments: 20, Inquiries: 0,Sales: 0
Product: Handmade Ceramic Vase, Date: 2023-04-03, Sale Price: $82.21, Platform: Facebook, Likes: 185, Shares: 25, Comments: 47, Inquiries: 8,Sales: 4
Product: Handcrafted Wooden Bowl, Date: 2023-03-11, Sale Price: $74.79, Platform: Twitter, Likes: 83, Shares: 90, Comments: 27, Inquiries: 12,Sales: 2
Product: Handcrafted Wooden Bowl, Date: 2023-05-04, Sale Price: $75.86, Platform: Instagram, Likes: 313, Shares: 24, Comments: 37, Inquiries: 7,Sales: 2
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-04, Sale Price: $67.63, Platform: Facebook, Likes: 156, Shares: 100, Comments: 23, Inquiries: 3,Sales: 1
Product: Natural Stone Coaster Set, Date: 2023-05-13, Sale Price: $29.19, Platform: Twitter, Likes: 56, Shares: 39, Comments: 40, Inquiries: 14,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-04-24, Sale Price: $78.59, Platform: Instagram, Likes: 465, Shares: 75, Comments: 18, Inquiries: 20,Sales: 8
Product: Artisan Glass Earrings, Date: 2023-05-19, Sale Price: $76.2, Platform: Twitter, Likes: 224, Shares: 98, Comments: 34, Inquiries: 20,Sales: 4
Product: Artisan Glass Earrings, Date: 2023-04-11, Sale Price: $46.45, Platform: Instagram, Likes: 117, Shares: 51, Comments: 5, Inquiries: 12,Sales: 4
Product: Natural Stone Coaster Set, Date: 2023-05-06, Sale Price: $63.72, Platform: Instagram, Likes: 122, Shares: 75, Comments: 46, Inquiries: 6,Sales: 2
Product: Vintage Style Linen Dress, Date: 2023-05-10, Sale Price: $69.25, Platform: Facebook, Likes: 226, Shares: 57, Comments: 40, Inquiries: 15,Sales: 7
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-10, Sale Price: $56.95, Platform: Facebook, Likes: 100, Shares: 77, Comments: 24, Inquiries: 6,Sales: 3
Product: Personalized Leather Wallet, Date: 2023-05-07, Sale Price: $57.66, Platform: Instagram, Likes: 154, Shares: 69, Comments: 40, Inquiries: 5,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-03-11, Sale Price: $66.62, Platform: Facebook, Likes: 259, Shares: 25, Comments: 38, Inquiries: 16,Sales: 8
Product: Vintage Style Linen Dress, Date: 2023-05-30, Sale Price: $99.06, Platform: Twitter, Likes: 381, Shares: 52, Comments: 17, Inquiries: 6,Sales: 1
Product: Handcrafted Wooden Bowl, Date: 2023-03-03, Sale Price: $68.38, Platform: Twitter, Likes: 206, Shares: 59, Comments: 25, Inquiries: 8,Sales: 1
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-06, Sale Price: $89.67, Platform: Twitter, Likes: 429, Shares: 46, Comments: 36, Inquiries: 8,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-05-02, Sale Price: $87.03, Platform: Facebook, Likes: 86, Shares: 86, Comments: 10, Inquiries: 6,Sales: 3
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-18, Sale Price: $36.6, Platform: Facebook, Likes: 235, Shares: 48, Comments: 9, Inquiries: 18,Sales: 9
