Product,Date,Sale Price,Platform,Likes,Shares,Comments,Inquiries,Sales
Handmade Ceramic Vase,2023-05-10,70.97,Facebook,244,64,34,13,6
Organic Cotton Scarf,2023-04-18,60.83,Twitter,410,57,36,4,0
Natural Stone Coaster Set,2023-04-16,25.21,Instagram,498,74,38,19,7
Handmade Ceramic Vase,2023-05-07,49.5,Twitter,115,19,48,20,4
Eco-Friendly Bamboo Clock,2023-05-20,36.5,Facebook,161,28,9,9,4
Decorative Beaded Bracelet,2023-04-11,53.48,Twitter,410,88,29,0,0
Vintage Style Linen Dress,2023-05-19,29.38,Instagram,479,69,24,5,2
Artisan Glass Earrings,2023-03-29,75.37,Twitter,484,90,47,14,2
Eco-Friendly Bamboo Clock,2023-05-22,57.4,Twitter,499,48,43,4,0
Handcrafted Wooden Bowl,2023-04-20,71.68,Facebook,388,23,27,11,5
Organic Cotton Scarf,2023-03-21,73.43,Instagram,491,26,5,0,0
Artisan Glass Earrings,2023-05-05,39.62,Twitter,282,27,10,2,0
Handmade Ceramic Vase,2023-05-04,64.89,Facebook,448,57,22,18,9
Organic Cotton Scarf,2023-05-23,98.41,Instagram,453,78,7,13,5
Personalized Leather Wallet,2023-04-16,23.22,Instagram,75,19,33,6,2
Vintage Style Linen Dress,2023-03-30,61.17,Twitter,292,10,15,18,3
Handmade Ceramic Vase,2023-03-19,27.91,Twitter,280,72,23,6,1
Handmade Ceramic Vase,2023-05-08,79.0,Instagram,487,63,20,6,2
Vintage Style Linen Dress,2023-03-05,80.87,Facebook,362,73,24,14,7
Personalized Leather Wallet,2023-05-02,42.2,Facebook,430,44,28,7,3
Handcrafted Wooden Bowl,2023-05-01,85.49,Instagram,442,86,20,20,8
Eco-Friendly Bamboo Clock,2023-03-15,92.72,Twitter,91,84,49,15,3
Eco-Friendly Bamboo Clock,2023-03-25,49.03,Instagram,137,85,50,7,2
Handmade Ceramic Vase,2023-04-03,35.49,Instagram,340,27,12,18,7
Natural Stone Coaster Set,2023-04-02,57.57,Twitter,87,76,12,19,3
Custom Silver Necklace,2023-03-19,64.02,Facebook,468,90,21,6,3
Personalized Leather Wallet,2023-05-03,83.39,Instagram,92,19,26,18,7
Eco-Friendly Bamboo Clock,2023-04-09,25.15,Facebook,97,30,20,17,8
Decorative Beaded Bracelet,2023-05-05,32.2,Instagram,185,51,30,14,5
Personalized Leather Wallet,2023-03-09,97.92,Twitter,212,53,17,8,1
Handmade Ceramic Vase,2023-05-03,91.06,Facebook,244,78,8,6,3
Personalized Leather Wallet,2023-03-10,25.29,Facebook,474,25,49,1,0
Organic Cotton Scarf,2023-03-06,30.48,Facebook,59,51,14,1,0
Decorative Beaded Bracelet,2023-04-08,65.87,Twitter,464,56,40,1,0
Handmade Ceramic Vase,2023-03-06,70.83,Facebook,161,83,12,13,6
Handcrafted Wooden Bowl,2023-03-27,52.71,Facebook,396,100,29,5,2
Custom Silver Necklace,2023-05-14,68.88,Twitter,243,19,48,13,2
Decorative Beaded Bracelet,2023-04-16,62.81,Twitter,461,80,21,13,2
Vintage Style Linen Dress,2023-04-17,37.38,Twitter,361,95,30,15,3
Handcrafted Wooden Bowl,2023-04-09,44.9,Twitter,108,19,8,0,0
Organic Cotton Scarf,2023-03-16,64.18,Instagram,206,24,38,20,8
Custom Silver Necklace,2023-03-16,28.98,Twitter,464,39,34,6,1
Handmade Ceramic Vase,2023-05-14,21.05,Instagram,61,75,5,19,7
Handmade Ceramic Vase,2023-04-16,52.95,Instagram,211,37,41,12,4
Handmade Ceramic Vase,2023-05-23,30.47,Facebook,445,24,36,13,6
Vintage Style Linen Dress,2023-04-14,30.19,Twitter,476,46,30,6,1
Decorative Beaded Bracelet,2023-03-30,67.85,Facebook,144,67,43,5,2
Handmade Ceramic Vase,2023-05-24,73.14,Instagram,297,66,8,4,1
Natural Stone Coaster Set,2023-03-07,81.38,Facebook,325,77,17,15,7
Eco-Friendly Bamboo Clock,2023-04-24,95.87,Instagram,470,56,41,2,0
Eco-Friendly Bamboo Clock,2023-03-30,51.46,Twitter,336,66,28,9,1
Decorative Beaded Bracelet,2023-05-08,82.63,Twitter,63,50,21,4,0
Organic Cotton Scarf,2023-03-05,72.91,Twitter,358,30,13,5,1
Organic Cotton Scarf,2023-05-04,59.46,Facebook,389,71,31,14,7
Natural Stone Coaster Set,2023-05-04,88.37,Facebook,292,69,43,7,3
Custom Silver Necklace,2023-03-14,47.57,Facebook,171,16,49,20,10
Vintage Style Linen Dress,2023-05-22,56.1,Instagram,420,18,11,11,4
Natural Stone Coaster Set,2023-04-14,34.13,Twitter,455,77,45,5,1
Decorative Beaded Bracelet,2023-03-23,68.63,Facebook,279,15,12,6,3
Handmade Ceramic Vase,2023-05-27,48.18,Instagram,200,12,45,0,0
Custom Silver Necklace,2023-04-27,98.95,Instagram,188,83,43,16,6
Vintage Style Linen Dress,2023-03-23,26.51,Twitter,175,89,28,14,2
Personalized Leather Wallet,2023-03-05,67.5,Facebook,121,80,11,16,8
Organic Cotton Scarf,2023-04-09,99.7,Instagram,265,55,36,1,0
Organic Cotton Scarf,2023-05-06,91.61,Facebook,383,42,32,1,0
Vintage Style Linen Dress,2023-04-16,25.39,Instagram,186,55,10,0,0
Custom Silver Necklace,2023-04-15,82.04,Facebook,334,96,18,15,7
Custom Silver Necklace,2023-05-27,51.59,Instagram,292,71,31,7,2
Handcrafted Wooden Bowl,2023-04-29,43.56,Instagram,73,30,8,0,0
Personalized Leather Wallet,2023-04-04,64.54,Instagram,415,57,44,6,2
Artisan Glass Earrings,2023-03-04,57.71,Facebook,453,41,48,3,1
Organic Cotton Scarf,2023-05-14,95.94,Instagram,493,35,29,14,5
Handcrafted Wooden Bowl,2023-04-28,54.75,Instagram,142,61,38,15,6
Eco-Friendly Bamboo Clock,2023-05-16,44.13,Twitter,287,72,7,19,3
Vintage Style Linen Dress,2023-03-07,98.33,Instagram,423,89,40,18,7
Vintage Style Linen Dress,2023-05-10,89.82,Twitter,233,80,29,4,0
Handmade Ceramic Vase,2023-04-06,81.1,Twitter,398,99,39,10,2
Custom Silver Necklace,2023-04-08,45.13,Instagram,117,95,5,19,7
Custom Silver Necklace,2023-03-17,23.99,Facebook,407,38,24,19,9
Handmade Ceramic Vase,2023-04-13,30.68,Facebook,78,61,44,7,3
Handcrafted Wooden Bowl,2023-04-03,52.66,Instagram,493,48,31,0,0
Decorative Beaded Bracelet,2023-04-19,38.71,Twitter,299,16,48,10,2
Eco-Friendly Bamboo Clock,2023-04-09,33.44,Facebook,415,94,23,15,7
Decorative Beaded Bracelet,2023-04-06,33.68,Instagram,187,15,40,18,7
Natural Stone Coaster Set,2023-05-29,48.59,Instagram,232,69,13,17,6
Eco-Friendly Bamboo Clock,2023-04-03,24.33,Facebook,152,56,35,10,5
Decorative Beaded Bracelet,2023-05-14,97.82,Instagram,61,48,5,9,3
Personalized Leather Wallet,2023-04-09,96.86,Facebook,315,67,15,8,4
Vintage Style Linen Dress,2023-03-05,89.72,Instagram,169,63,12,18,7
Organic Cotton Scarf,2023-04-10,35.7,Instagram,288,80,27,14,5
Decorative Beaded Bracelet,2023-03-25,98.08,Twitter,387,23,22,10,2
Handmade Ceramic Vase,2023-03-22,75.16,Instagram,308,60,28,17,6
Artisan Glass Earrings,2023-05-21,57.87,Twitter,334,65,49,4,0
Handmade Ceramic Vase,2023-05-23,53.36,Twitter,397,51,5,15,3
Custom Silver Necklace,2023-04-24,21.44,Instagram,126,24,29,18,7
Custom Silver Necklace,2023-05-25,60.13,Twitter,431,49,19,16,3
Handmade Ceramic Vase,2023-05-10,66.86,Facebook,346,33,46,12,6
Handmade Ceramic Vase,2023-04-20,82.99,Instagram,155,33,29,9,3
Eco-Friendly Bamboo Clock,2023-03-07,99.87,Instagram,167,39,27,1,0
Custom Silver Necklace,2023-03-26,31.61,Twitter,68,97,48,10,2
Personalized Leather Wallet,2023-05-24,51.25,Twitter,109,57,23,18,3
Natural Stone Coaster Set,2023-03-11,80.42,Facebook,280,59,37,15,7
Organic Cotton Scarf,2023-04-26,82.84,Twitter,138,94,49,19,3
Artisan Glass Earrings,2023-03-29,22.09,Twitter,104,73,11,14,2
Vintage Style Linen Dress,2023-04-23,82.15,Instagram,106,84,5,5,2
Decorative Beaded Bracelet,2023-05-01,90.69,Facebook,209,95,50,7,3
Personalized Leather Wallet,2023-03-07,47.86,Facebook,485,24,34,13,6
Custom Silver Necklace,2023-03-05,56.41,Instagram,457,12,16,7,2
Handcrafted Wooden Bowl,2023-04-08,91.89,Instagram,492,87,10,4,1
Decorative Beaded Bracelet,2023-03-21,85.7,Facebook,343,70,20,10,5
Organic Cotton Scarf,2023-05-30,75.1,Twitter,239,37,30,10,2
Artisan Glass Earrings,2023-03-05,21.38,Facebook,140,93,7,3,1
Handcrafted Wooden Bowl,2023-05-25,39.84,Facebook,191,78,33,20,10
Artisan Glass Earrings,2023-05-08,24.93,Instagram,233,93,13,20,8
Handmade Ceramic Vase,2023-03-24,83.93,Facebook,304,63,33,11,5
Handcrafted Wooden Bowl,2023-03-05,79.29,Facebook,375,26,12,2,1
Artisan Glass Earrings,2023-03-09,71.64,Twitter,412,69,46,0,0
Eco-Friendly Bamboo Clock,2023-04-12,92.2,Instagram,225,67,14,7,2
Custom Silver Necklace,2023-04-10,98.08,Instagram,350,72,8,5,2
Natural Stone Coaster Set,2023-03-11,80.58,Facebook,323,94,33,19,9
Custom Silver Necklace,2023-05-01,78.86,Twitter,122,44,8,17,3
Decorative Beaded Bracelet,2023-05-19,82.08,Facebook,184,57,20,3,1
Handcrafted Wooden Bowl,2023-03-08,74.45,Twitter,361,83,42,15,3
Handmade Ceramic Vase,2023-03-04,68.53,Facebook,248,55,5,15,7
Personalized Leather Wallet,2023-03-02,88.89,Twitter,451,98,27,9,1
Handcrafted Wooden Bowl,2023-03-24,34.38,Facebook,431,90,46,5,2
Organic Cotton Scarf,2023-03-07,73.29,Twitter,58,16,19,19,3
Natural Stone Coaster Set,2023-04-12,89.91,Instagram,189,49,14,6,2
Handcrafted Wooden Bowl,2023-05-20,60.4,Instagram,254,86,30,2,0
Decorative Beaded Bracelet,2023-04-22,58.75,Twitter,466,58,14,19,3
Natural Stone Coaster Set,2023-03-14,42.07,Facebook,248,32,16,11,5
Organic Cotton Scarf,2023-05-02,72.4,Twitter,368,60,12,0,0
Vintage Style Linen Dress,2023-05-26,91.41,Facebook,446,25,50,1,0
Organic Cotton Scarf,2023-05-12,74.19,Instagram,483,63,39,18,7
Decorative Beaded Bracelet,2023-05-16,46.33,Twitter,157,70,15,19,3
Handmade Ceramic Vase,2023-05-15,28.56,Instagram,189,48,43,14,5
Vintage Style Linen Dress,2023-04-25,33.63,Instagram,145,94,30,9,3
Artisan Glass Earrings,2023-05-11,82.43,Facebook,131,71,34,2,1
Organic Cotton Scarf,2023-03-15,53.39,Twitter,400,99,37,12,2
Eco-Friendly Bamboo Clock,2023-04-05,81.0,Facebook,60,76,38,9,4
Decorative Beaded Bracelet,2023-04-22,59.63,Twitter,80,68,38,17,3
Personalized Leather Wallet,2023-04-11,91.26,Twitter,220,26,10,6,1
Eco-Friendly Bamboo Clock,2023-03-06,35.03,Facebook,397,26,35,13,6
Artisan Glass Earrings,2023-04-11,41.35,Facebook,467,33,44,11,5
Vintage Style Linen Dress,2023-04-27,53.05,Facebook,148,32,42,1,0
Natural Stone Coaster Set,2023-05-01,62.72,Instagram,349,30,14,3,1
Decorative Beaded Bracelet,2023-03-21,56.97,Facebook,438,44,17,6,3
Vintage Style Linen Dress,2023-04-26,98.12,Instagram,154,43,26,16,6
Handmade Ceramic Vase,2023-03-13,63.36,Instagram,279,14,32,9,3
Artisan Glass Earrings,2023-05-17,51.92,Twitter,260,53,23,4,0
Artisan Glass Earrings,2023-05-26,82.81,Facebook,414,97,33,11,5
Handmade Ceramic Vase,2023-05-10,22.88,Twitter,346,12,10,5,1
Organic Cotton Scarf,2023-03-12,63.62,Instagram,362,73,25,6,2
Vintage Style Linen Dress,2023-05-17,22.82,Instagram,53,88,20,20,8
Organic Cotton Scarf,2023-04-30,91.56,Twitter,84,65,12,1,0
Handmade Ceramic Vase,2023-04-14,77.36,Instagram,108,29,14,4,1
Personalized Leather Wallet,2023-05-12,63.89,Instagram,442,12,16,17,6
Decorative Beaded Bracelet,2023-05-25,35.24,Facebook,169,12,47,2,1
Natural Stone Coaster Set,2023-05-23,82.46,Facebook,96,42,46,0,0
Vintage Style Linen Dress,2023-05-09,36.7,Instagram,197,28,34,20,8
Handmade Ceramic Vase,2023-05-16,24.7,Twitter,245,21,7,13,2
Custom Silver Necklace,2023-03-22,43.54,Twitter,199,64,35,9,1
Personalized Leather Wallet,2023-04-07,47.67,Instagram,144,16,29,20,8
Custom Silver Necklace,2023-04-04,36.13,Facebook,361,99,14,8,4
Eco-Friendly Bamboo Clock,2023-03-20,72.92,Instagram,370,76,45,1,0
Handmade Ceramic Vase,2023-04-17,94.57,Facebook,195,65,36,12,6
Organic Cotton Scarf,2023-04-05,50.07,Facebook,360,42,40,7,3
Custom Silver Necklace,2023-04-12,62.16,Twitter,477,63,44,6,1
Organic Cotton Scarf,2023-03-28,95.56,Twitter,384,68,46,16,3
Vintage Style Linen Dress,2023-04-25,99.46,Facebook,149,57,42,16,8
Vintage Style Linen Dress,2023-03-26,91.99,Facebook,58,43,35,7,3
Natural Stone Coaster Set,2023-03-09,37.68,Facebook,491,92,40,4,2
Handcrafted Wooden Bowl,2023-04-06,95.94,Instagram,274,100,38,1,0
Custom Silver Necklace,2023-03-01,59.02,Twitter,84,37,20,12,2
Decorative Beaded Bracelet,2023-03-13,34.72,Twitter,322,24,24,11,2
Organic Cotton Scarf,2023-03-23,74.78,Twitter,232,89,33,8,1
Vintage Style Linen Dress,2023-04-16,97.04,Twitter,169,24,14,2,0
Decorative Beaded Bracelet,2023-04-29,80.31,Instagram,118,22,36,20,8
Natural Stone Coaster Set,2023-05-12,26.85,Instagram,160,56,39,20,8
Organic Cotton Scarf,2023-04-15,45.24,Instagram,259,94,15,12,4
Organic Cotton Scarf,2023-03-08,34.44,Twitter,158,77,42,7,1
Decorative Beaded Bracelet,2023-04-09,49.8,Instagram,205,32,44,10,4
Decorative Beaded Bracelet,2023-04-13,45.54,Facebook,395,47,10,0,0
Organic Cotton Scarf,2023-04-25,52.39,Instagram,189,31,19,16,6
Vintage Style Linen Dress,2023-04-28,66.67,Facebook,143,70,43,19,9
Natural Stone Coaster Set,2023-04-12,42.51,Twitter,184,96,28,16,3
Vintage Style Linen Dress,2023-04-23,92.68,Facebook,198,77,23,6,3
Handmade Ceramic Vase,2023-03-03,65.95,Instagram,90,52,9,5,2
Decorative Beaded Bracelet,2023-04-28,83.26,Instagram,225,70,29,2,0
Eco-Friendly Bamboo Clock,2023-04-05,61.5,Twitter,349,67,5,13,2
Handmade Ceramic Vase,2023-04-06,82.41,Facebook,364,30,18,13,6
Artisan Glass Earrings,2023-04-12,89.53,Twitter,97,14,34,11,2
Personalized Leather Wallet,2023-04-06,34.11,Facebook,249,62,5,2,1
Eco-Friendly Bamboo Clock,2023-05-11,38.11,Facebook,205,18,27,12,6
Natural Stone Coaster Set,2023-05-13,76.62,Instagram,343,20,10,15,6
Vintage Style Linen Dress,2023-05-24,29.97,Twitter,54,93,18,8,1
Handmade Ceramic Vase,2023-05-09,83.91,Twitter,131,99,5,1,0
Organic Cotton Scarf,2023-03-27,68.29,Facebook,398,10,6,0,0
Eco-Friendly Bamboo Clock,2023-04-29,81.97,Facebook,64,70,36,11,5
Handmade Ceramic Vase,2023-03-01,76.67,Facebook,113,74,47,5,2
Decorative Beaded Bracelet,2023-05-27,87.6,Instagram,344,25,19,5,2
Custom Silver Necklace,2023-05-11,97.19,Instagram,256,95,43,17,6
Artisan Glass Earrings,2023-04-17,84.06,Facebook,57,26,9,19,9
Organic Cotton Scarf,2023-03-31,36.74,Twitter,267,88,47,19,3
Artisan Glass Earrings,2023-04-05,71.58,Twitter,373,66,48,11,2
Decorative Beaded Bracelet,2023-04-25,61.63,Facebook,315,55,16,18,9
Decorative Beaded Bracelet,2023-05-14,47.1,Facebook,338,39,18,18,9
Artisan Glass Earrings,2023-05-05,39.76,Twitter,429,76,47,1,0
Handmade Ceramic Vase,2023-04-28,21.24,Facebook,55,71,45,3,1
Artisan Glass Earrings,2023-04-19,87.18,Twitter,103,80,48,14,2
Handcrafted Wooden Bowl,2023-05-24,68.58,Twitter,474,50,26,19,3
Decorative Beaded Bracelet,2023-04-26,90.06,Instagram,491,85,24,17,6
Handmade Ceramic Vase,2023-05-17,41.57,Instagram,58,16,31,13,5
Organic Cotton Scarf,2023-05-05,52.3,Twitter,70,93,34,20,4
Eco-Friendly Bamboo Clock,2023-03-10,25.53,Facebook,383,75,49,3,1
Personalized Leather Wallet,2023-03-08,21.04,Facebook,280,22,12,20,10
Organic Cotton Scarf,2023-04-12,74.32,Twitter,381,53,8,0,0
Handcrafted Wooden Bowl,2023-03-06,73.9,Facebook,387,80,45,19,9
Personalized Leather Wallet,2023-03-29,55.48,Twitter,271,92,8,10,2
Handcrafted Wooden Bowl,2023-03-09,23.45,Twitter,169,75,34,15,3
Custom Silver Necklace,2023-03-07,22.23,Facebook,415,67,36,1,0
Eco-Friendly Bamboo Clock,2023-05-09,33.41,Twitter,309,47,14,19,3
Organic Cotton Scarf,2023-03-05,36.05,Facebook,396,40,36,11,5
Artisan Glass Earrings,2023-04-29,86.06,Facebook,237,51,36,8,4
Natural Stone Coaster Set,2023-04-29,48.6,Instagram,426,74,41,5,2
Eco-Friendly Bamboo Clock,2023-05-06,97.66,Facebook,159,73,32,7,3
Decorative Beaded Bracelet,2023-03-08,84.95,Instagram,384,96,31,7,2
Natural Stone Coaster Set,2023-03-04,22.84,Twitter,436,92,5,4,0
Vintage Style Linen Dress,2023-04-10,75.52,Twitter,491,19,46,19,3
Decorative Beaded Bracelet,2023-04-06,36.3,Facebook,197,87,15,2,1
Natural Stone Coaster Set,2023-03-24,51.75,Facebook,432,10,45,0,0
Handcrafted Wooden Bowl,2023-03-07,71.52,Facebook,226,36,20,17,8
Organic Cotton Scarf,2023-04-03,77.06,Twitter,242,72,38,16,3
Handcrafted Wooden Bowl,2023-04-23,35.9,Instagram,337,75,6,5,2
Handmade Ceramic Vase,2023-04-26,57.91,Twitter,386,72,49,14,2
Personalized Leather Wallet,2023-03-09,70.73,Twitter,96,43,49,3,0
Handcrafted Wooden Bowl,2023-04-18,62.31,Facebook,338,59,26,8,4
Organic Cotton Scarf,2023-03-22,90.84,Facebook,247,70,45,1,0
Vintage Style Linen Dress,2023-05-20,94.0,Facebook,98,82,28,2,1
Vintage Style Linen Dress,2023-04-15,56.26,Instagram,412,83,6,20,8
Organic Cotton Scarf,2023-04-04,55.09,Facebook,302,82,16,10,5
Personalized Leather Wallet,2023-03-22,70.34,Instagram,279,20,44,8,3
Natural Stone Coaster Set,2023-04-08,47.74,Instagram,203,29,21,7,2
Decorative Beaded Bracelet,2023-05-19,55.99,Instagram,346,73,33,19,7
Personalized Leather Wallet,2023-04-30,49.85,Facebook,220,73,25,6,3
Personalized Leather Wallet,2023-04-03,73.54,Twitter,444,74,41,1,0
Personalized Leather Wallet,2023-03-11,47.05,Instagram,160,63,33,20,8
Organic Cotton Scarf,2023-03-10,83.17,Twitter,414,77,37,18,3
Organic Cotton Scarf,2023-05-06,99.25,Facebook,159,48,50,9,4
Handmade Ceramic Vase,2023-04-14,98.39,Instagram,295,53,26,11,4
Personalized Leather Wallet,2023-05-24,84.28,Twitter,488,52,11,19,3
Organic Cotton Scarf,2023-03-17,70.94,Twitter,415,25,18,15,3
Handmade Ceramic Vase,2023-04-22,56.16,Twitter,77,27,42,20,4
Handcrafted Wooden Bowl,2023-04-10,44.16,Instagram,294,64,16,2,0
Eco-Friendly Bamboo Clock,2023-03-01,71.24,Facebook,329,20,23,0,0
Vintage Style Linen Dress,2023-04-28,85.72,Facebook,274,41,15,10,5
Handmade Ceramic Vase,2023-03-31,94.84,Instagram,295,80,40,4,1
Organic Cotton Scarf,2023-05-27,62.56,Facebook,485,27,17,11,5
Handmade Ceramic Vase,2023-05-07,37.72,Facebook,159,26,28,2,1
Natural Stone Coaster Set,2023-03-30,24.75,Twitter,193,40,14,4,0
Vintage Style Linen Dress,2023-03-02,56.61,Facebook,309,93,49,16,8
Handcrafted Wooden Bowl,2023-03-26,52.55,Twitter,328,87,17,6,1
Handmade Ceramic Vase,2023-04-09,95.98,Facebook,237,45,14,16,8
Custom Silver Necklace,2023-04-14,35.98,Facebook,155,98,17,7,3
Artisan Glass Earrings,2023-05-04,53.87,Twitter,419,79,32,19,3
Personalized Leather Wallet,2023-04-22,81.55,Twitter,421,95,7,19,3
Decorative Beaded Bracelet,2023-03-03,78.66,Twitter,387,76,18,4,0
Decorative Beaded Bracelet,2023-03-21,55.07,Instagram,249,81,29,4,1
Artisan Glass Earrings,2023-03-02,73.01,Facebook,349,93,16,5,2
Custom Silver Necklace,2023-05-30,42.29,Facebook,354,29,49,1,0
Artisan Glass Earrings,2023-04-22,97.61,Instagram,200,49,47,10,4
Eco-Friendly Bamboo Clock,2023-05-27,41.56,Instagram,108,58,22,6,2
Organic Cotton Scarf,2023-03-16,83.9,Twitter,73,66,12,16,3
Handcrafted Wooden Bowl,2023-05-03,59.55,Twitter,345,41,10,7,1
Artisan Glass Earrings,2023-04-16,67.95,Instagram,175,68,21,12,4
Personalized Leather Wallet,2023-05-08,95.5,Twitter,417,53,31,4,0
Custom Silver Necklace,2023-03-05,53.78,Instagram,67,37,38,13,5
Eco-Friendly Bamboo Clock,2023-03-05,59.29,Facebook,466,53,24,18,9
Handmade Ceramic Vase,2023-03-23,54.12,Instagram,160,74,10,16,6
Handmade Ceramic Vase,2023-04-01,76.27,Facebook,116,28,50,8,4
Natural Stone Coaster Set,2023-04-23,64.15,Twitter,288,82,8,14,2
Artisan Glass Earrings,2023-04-20,39.54,Instagram,59,33,39,10,4
Handcrafted Wooden Bowl,2023-03-02,78.97,Twitter,315,80,8,13,2
Custom Silver Necklace,2023-03-23,77.64,Facebook,484,19,6,11,5
Handmade Ceramic Vase,2023-05-15,93.32,Twitter,442,36,31,14,2
Personalized Leather Wallet,2023-05-06,95.24,Facebook,498,73,28,6,3
Eco-Friendly Bamboo Clock,2023-04-04,91.54,Instagram,278,10,24,7,2
Eco-Friendly Bamboo Clock,2023-04-08,30.98,Facebook,245,17,18,15,7
Handmade Ceramic Vase,2023-03-11,48.52,Instagram,420,44,46,5,2
Personalized Leather Wallet,2023-03-29,57.35,Instagram,91,10,20,0,0
Handmade Ceramic Vase,2023-04-03,82.21,Facebook,185,25,47,8,4
Handcrafted Wooden Bowl,2023-03-11,74.79,Twitter,83,90,27,12,2
Handcrafted Wooden Bowl,2023-05-04,75.86,Instagram,313,24,37,7,2
Eco-Friendly Bamboo Clock,2023-04-04,67.63,Facebook,156,100,23,3,1
Natural Stone Coaster Set,2023-05-13,29.19,Twitter,56,39,40,14,2
Natural Stone Coaster Set,2023-04-24,78.59,Instagram,465,75,18,20,8
Artisan Glass Earrings,2023-05-19,76.2,Twitter,224,98,34,20,4
Artisan Glass Earrings,2023-04-11,46.45,Instagram,117,51,5,12,4
Natural Stone Coaster Set,2023-05-06,63.72,Instagram,122,75,46,6,2
Vintage Style Linen Dress,2023-05-10,69.25,Facebook,226,57,40,15,7
Eco-Friendly Bamboo Clock,2023-05-10,56.95,Facebook,100,77,24,6,3
Personalized Leather Wallet,2023-05-07,57.66,Instagram,154,69,40,5,2
Natural Stone Coaster Set,2023-03-11,66.62,Facebook,259,25,38,16,8
Vintage Style Linen Dress,2023-05-30,99.06,Twitter,381,52,17,6,1
Handcrafted Wooden Bowl,2023-03-03,68.38,Twitter,206,59,25,8,1
Eco-Friendly Bamboo Clock,2023-03-06,89.67,Twitter,429,46,36,8,1
Artisan Glass Earrings,2023-05-02,87.03,Facebook,86,86,10,6,3
Eco-Friendly Bamboo Clock,2023-05-18,36.6,Facebook,235,48,9,18,9
Decorative Beaded Bracelet,2023-04-26,87.83,Facebook,364,30,18,7,3
Vintage Style Linen Dress,2023-04-02,31.27,Twitter,62,89,9,2,0
Natural Stone Coaster Set,2023-05-13,43.07,Instagram,273,52,25,10,4
Natural Stone Coaster Set,2023-03-05,32.72,Instagram,369,35,39,9,3
Natural Stone Coaster Set,2023-03-16,77.1,Facebook,192,30,41,16,8
Organic Cotton Scarf,2023-03-05,70.46,Instagram,217,67,20,4,1
Eco-Friendly Bamboo Clock,2023-04-24,91.16,Twitter,491,13,44,15,3
Natural Stone Coaster Set,2023-04-03,96.55,Instagram,317,46,35,19,7
Natural Stone Coaster Set,2023-05-03,71.86,Facebook,381,42,36,9,4
Vintage Style Linen Dress,2023-04-30,47.67,Facebook,292,22,7,14,7
Handcrafted Wooden Bowl,2023-03-27,35.53,Instagram,456,94,18,20,8
Personalized Leather Wallet,2023-05-17,61.78,Instagram,54,27,25,2,0
Artisan Glass Earrings,2023-03-25,43.6,Facebook,429,81,49,19,9
Natural Stone Coaster Set,2023-05-07,71.63,Facebook,140,43,18,16,8
Natural Stone Coaster Set,2023-04-02,45.25,Facebook,372,39,23,4,2
Natural Stone Coaster Set,2023-04-25,21.97,Twitter,378,40,17,1,0
Personalized Leather Wallet,2023-05-11,84.8,Facebook,63,12,46,4,2
Natural Stone Coaster Set,2023-03-19,99.27,Facebook,492,56,49,9,4
Natural Stone Coaster Set,2023-03-29,47.6,Instagram,163,40,14,8,3
Personalized Leather Wallet,2023-03-09,90.73,Facebook,112,32,16,1,0
Organic Cotton Scarf,2023-03-18,52.47,Instagram,391,41,39,9,3
Artisan Glass Earrings,2023-05-26,72.66,Twitter,317,88,24,5,1
Decorative Beaded Bracelet,2023-05-21,75.05,Facebook,499,24,23,8,4
Decorative Beaded Bracelet,2023-04-18,21.03,Twitter,470,97,22,12,2
Vintage Style Linen Dress,2023-04-06,60.39,Facebook,481,24,45,4,2
Artisan Glass Earrings,2023-03-20,59.52,Instagram,315,83,13,14,5
Vintage Style Linen Dress,2023-05-10,85.64,Twitter,388,92,40,2,0
Handmade Ceramic Vase,2023-03-02,35.43,Facebook,181,35,26,6,3
Eco-Friendly Bamboo Clock,2023-03-01,88.22,Twitter,341,59,13,18,3
Vintage Style Linen Dress,2023-05-14,66.89,Facebook,284,74,15,12,6
Eco-Friendly Bamboo Clock,2023-03-30,88.49,Twitter,185,76,23,11,2
Custom Silver Necklace,2023-05-25,45.76,Twitter,256,38,44,8,1
Eco-Friendly Bamboo Clock,2023-04-04,41.18,Instagram,194,76,18,3,1
Natural Stone Coaster Set,2023-03-15,65.92,Facebook,381,75,14,9,4
Natural Stone Coaster Set,2023-03-27,86.75,Instagram,65,58,33,5,2
Artisan Glass Earrings,2023-05-10,98.34,Instagram,446,76,11,1,0
Organic Cotton Scarf,2023-05-09,97.12,Instagram,392,99,19,10,4
Vintage Style Linen Dress,2023-05-08,93.21,Facebook,80,17,31,2,1
Decorative Beaded Bracelet,2023-05-23,79.13,Facebook,89,62,22,6,3
Natural Stone Coaster Set,2023-04-15,71.19,Facebook,189,41,10,20,10
Personalized Leather Wallet,2023-03-21,45.7,Twitter,116,55,32,13,2
Eco-Friendly Bamboo Clock,2023-05-25,48.27,Instagram,233,62,26,12,4
Custom Silver Necklace,2023-05-13,29.18,Instagram,487,74,26,4,1
Eco-Friendly Bamboo Clock,2023-05-20,38.65,Facebook,147,73,37,14,7
Organic Cotton Scarf,2023-03-17,93.54,Twitter,265,63,19,16,3
Personalized Leather Wallet,2023-04-04,85.87,Instagram,251,80,19,8,3
Custom Silver Necklace,2023-05-20,71.35,Facebook,451,77,14,1,0
